ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13463785,JH267840,05/17/2024 08:00:00 PM,0000X W KINZIE ST,0810,THEFT,OVER $500,RESTAURANT,false,false,1831,018,42,8,06,1175734,1903009,2024,05/17/2025 03:40:52 PM,41.889227229,-87.630083361,"(41.889227229, -87.630083361)"
13470236,JH275647,05/22/2024 01:00:00 PM,034XX W 61ST ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,true,0823,008,14,66,26,1154610,1863962,2024,05/17/2025 03:40:52 PM,41.782526316,-87.708702036,"(41.782526316, -87.708702036)"
13463695,JH267688,05/17/2024 06:28:00 PM,022XX W DEVON AVE,0460,BATTERY,SIMPLE,COMMERCIAL / BUSINESS OFFICE,false,false,2413,024,50,2,08B,1160007,1942446,2024,05/17/2025 03:40:52 PM,41.997783914,-87.686746638,"(41.997783914, -87.686746638)"
13465150,JH269340,05/19/2024 01:23:00 AM,0000X E 43RD ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,false,false,0215,002,3,38,04A,1177659,1876531,2024,05/17/2025 03:40:52 PM,41.816526292,-87.623817523,"(41.816526292, -87.623817523)"
13469927,JH275271,05/22/2024 10:00:00 PM,007XX W OHIO ST,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,false,false,1214,012,27,24,26,1171143,1904076,2024,05/17/2025 03:40:52 PM,41.892257156,-87.646911879,"(41.892257156, -87.646911879)"
13471961,JH277788,05/24/2024 11:38:00 PM,007XX S KENNETH AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,1131,011,24,26,15,1146813,1896121,2024,05/17/2025 03:40:52 PM,41.870927062,-87.736469368,"(41.870927062, -87.736469368)"
13470060,JH275400,05/22/2024 10:15:00 PM,006XX N ORLEANS ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,false,false,1831,018,42,8,06,1173804,1904867,2024,05/17/2025 03:40:52 PM,41.894368873,-87.637115665,"(41.894368873, -87.637115665)"
13464645,JH268718,05/18/2024 03:06:00 PM,047XX N WINCHESTER AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,1912,019,47,4,08A,1162559,1931508,2024,05/17/2025 03:40:52 PM,41.96771638,-87.677666772,"(41.96771638, -87.677666772)"
13466249,JH269641,05/18/2024 07:00:00 PM,007XX W ADAMS ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1232,012,34,28,05,1171256,1899328,2024,05/17/2025 03:40:52 PM,41.879225851,-87.646636417,"(41.879225851, -87.646636417)"
13472409,JH278081,05/25/2024 07:15:00 AM,005XX E PERSHING RD,0330,ROBBERY,AGGRAVATED,SIDEWALK,false,false,0214,002,3,38,03,1180332,1879231,2024,05/17/2025 03:40:52 PM,41.823874319,-87.613929509,"(41.823874319, -87.613929509)"
13472251,JH278200,05/25/2024 10:16:00 AM,055XX S HERMITAGE AVE,4651,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER NEW ADDRESS,RESIDENCE,false,false,0715,007,16,67,26,1165623,1867889,2024,05/17/2025 03:40:52 PM,41.793075864,-87.668213625,"(41.793075864, -87.668213625)"
13471183,JH276682,05/24/2024 08:13:00 AM,034XX W HURON ST,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,true,false,1121,011,27,23,18,1153384,1904455,2024,05/17/2025 03:40:52 PM,41.893668506,-87.712123242,"(41.893668506, -87.712123242)"
13472327,JH278242,05/18/2024 12:00:00 PM,034XX W 47TH ST,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,false,false,0821,008,14,58,06,1154433,1873263,2024,05/17/2025 03:40:52 PM,41.80805312,-87.709103358,"(41.80805312, -87.709103358)"
13467496,JH272332,05/18/2024 06:15:00 PM,021XX S MICHIGAN AVE,0810,THEFT,OVER $500,STREET,false,false,0131,001,3,33,06,1177540,1890161,2024,05/17/2025 03:40:52 PM,41.853930752,-87.623841071,"(41.853930752, -87.623841071)"
